TX_REF|TX_CHAVE|TX_VALOR
EQ_TipoConclusaoExecutada|MA_LG_LIGSISOL_EXELIGIS_0002|EXECUTADO C/ FINANCIAMENTO DE PADRÃO
EQ_TipoConclusaoExecutada|MA_LG_LIGSISOL_EXELIGNV_0001|EXECUTADO
EQ_TipoConclusaoExecutada|MA_LG_LIGSISOL_EXELIGNV_0002|EXECUTADO C/ FINANCIAMENTO DE PADRÃO
EQ_TipoConclusaoExecutada|MA_LG_LIGSISOL_VISTLGSI_0001|EXECUÇÃO DA VISTORIA SIGFI
EQ_TipoConclusaoExecutada|MA_LG_LIGSISOL_VISTLGSI_0002|EXECUÇÃO DA VISTORIA MIGDI
EQ_TipoConclusaoExecutada|MA_LG_LIGSISOL_VISTLGSI_0003|EXECUTADO VISTORIA COM FINANC. PADRÃO SIGFI
EQ_TipoConclusaoExecutada|MA_LG_LIGSISOL_VISTLGSI_0012|EXECUTADO VISTORIA COM FINANC. PADRÃO MIGDI
EQ_TipoConclusaoExecutada|MA_LG_LIGSISOL_VISTLGSI_0013|EXECUÇÃO VISTORIA COM LIGAÇÃO SIGFI
EQ_TipoConclusaoExecutada|MA_LG_LIGSISOL_VISTLGSI_0018|EXECUÇÃO VISTORIA COM LIGAÇÃO MIGDI
EQ_TipoConclusaoExecutada|MA_LG_LIGSISOL_VISTLGSI_0019|EXECUÇÃO VISTORIA COM LIGAÇÃO SIGFI E FINACIAMENTO DO PADRÃO
EQ_TipoConclusaoExecutada|MA_LG_REATIVAC_LIGACAO_0001|EXECUTADO
EQ_TipoConclusaoExecutada|MA_LG_REATIVAC_LIGACAO_0002|EXECUTADO C/ FINANCIAMENTO DE PADRÃO
EQ_TipoConclusaoExecutada|MA_LG_REATIVAC_VISTORIA_0001|EXECUÇÃO DA VISTORIA
EQ_TipoConclusaoExecutada|MA_LG_REATIVAC_VISTORIA_0002|EXECUÇÃO VISTORIA COM LIGAÇÃO
EQ_TipoConclusaoExecutada|MA_LG_REATIVAC_VISTORIA_0003|EXECUÇÃO VISTORIA C/ LIGAÇÃO E FINANCIAMENTO DO PADRÃO
EQ_TipoConclusaoExecutada|MA_LG_REATIVAC_VISTORIA_0024|EXECUTADO VISTORIA COM FINANC. PADRÃO
EQ_TipoConclusaoExecutada|MA_M1_ALMODTAR_EXECALCO_0002|TROCA DE MEDIDOR
EQ_TipoConclusaoExecutada|MA_M1_ALMODTAR_EXECALCO_0003|TROCA DE MEDIDOR COM FINANCIAMENTO DE PADRAO
EQ_TipoConclusaoExecutada|MA_M1_ALMODTAR_EXECALCO_0004|REPROGRAMADO MEDIDOR
EQ_TipoConclusaoExecutada|MA_M1_ALMODTAR_EXECALTB_0002|TROCA DE MEDIDOR
EQ_TipoConclusaoExecutada|MA_M1_ALMODTAR_EXECALTB_0003|TROCA DE MEDIDOR COM FINANCIAMENTO DE PADRAO
EQ_TipoConclusaoExecutada|MA_M1_ALMODTAR_EXECALTB_0004|REPROGRAMADO MEDIDOR
EQ_TipoConclusaoExecutada|MA_M1_ALMODTAR_REPROMED_0001|MEDIDOR REPROGRAMADO
EQ_TipoConclusaoExecutada|MA_M1_ALMODTAR_REPROMED_0002|NECESSARIO IR A CAMPO
EQ_TipoConclusaoExecutada|MA_M1_ALMODTAR_VALICAMP_0001|EXECUTADO
EQ_TipoConclusaoExecutada|MA_M1_ALMODTAR_VISALTBR_0001|EXECUTADA A VISTORIA
EQ_TipoConclusaoExecutada|MA_M1_ALMODTAR_VISALTBR_0003|TROCA DE MEDIDOR COM FINANCIAMENTO DE PADRAO
EQ_TipoConclusaoExecutada|MA_M1_ALMODTAR_VISALTBR_0004|TROCADO SOMENTE O MEDIDOR
EQ_TipoConclusaoExecutada|MA_M1_ALMODTAR_VISALTBR_0005|SOMENTE REPROGRAMADO O MEDIDOR
EQ_TipoConclusaoExecutada|MA_M1_ALMODTAR_VISALTCO_0001|EXECUTADA A VISTORIA
EQ_TipoConclusaoExecutada|MA_M1_ALMODTAR_VISALTCO_0003|TROCA DE MEDIDOR COM FINANCIAMENTO DE PADRAO
EQ_TipoConclusaoExecutada|MA_M1_ALMODTAR_VISALTCO_0004|TROCADO SOMENTE O MEDIDOR
EQ_TipoConclusaoExecutada|MA_M1_ALMODTAR_VISALTCO_0005|SOMENTE REPROGRAMADO O MEDIDOR
EQ_TipoConclusaoExecutada|MA_MM_MUDMEDLC_MUDAMELO_0001|EXECUTADO FINANCIADO PADRÃO
EQ_TipoConclusaoExecutada|MA_MM_MUDMEDLC_MUDAMELO_0002|EXECUTADO
EQ_TipoConclusaoExecutada|MA_MM_MUDMEDLC_MUDAMELO_0003|EXECUTADO - TROCAR DE MEDIDOR
EQ_TipoConclusaoExecutada|MA_MM_MUDMEDLC_MUDAMELO_0004|EXECUTADO / FINANC. PADRÃO-TROCAR MEDIDOR
EQ_TipoConclusaoExecutada|MA_MM_MUDMEDLC_MUDAMELO_0007|EXECUÇÃO DO SERVIÇO E DESLOCAMENTO RAMAL
EQ_TipoConclusaoExecutada|MA_MM_MUDMEDLC_VTMUDMED_0001|EXECUTADO FINANCIADO PADRÃO
EQ_TipoConclusaoExecutada|MA_MM_MUDMEDLC_VTMUDMED_0002|EXECUTADO
EQ_TipoConclusaoExecutada|MA_MM_MUDMEDLC_VTMUDMED_0003|EXECUTADO - TROCAR DE MEDIDOR
EQ_TipoConclusaoExecutada|MA_MM_MUDMEDLC_VTMUDMED_0004|EXECUTADO / FINANC. PADRÃO-TROCAR MEDIDOR
EQ_TipoConclusaoExecutada|MA_MM_MUDMEDLC_VTMUDMED_0007|EXECUÇÃO DO SERVIÇO E DESLOCAMENTO RAMAL
EQ_TipoConclusaoExecutada|MA_MM_MUDMEDLC_VTMUDMED_0008|VISTORIA APROVADA
EQ_TipoConclusaoExecutada|MA_MM_MUDMEDLC_VTMUDMED_0009|AMPLIAÇÃO DE REDE
EQ_TipoConclusaoExecutada|MA_MQ_MDQUALAM_INMDQUAL_0001|MEDICAO INSTALADO
EQ_TipoConclusaoExecutada|MA_MQ_MDQUALAM_TROCMDQD_0001|MEDICAO TROCADA
EQ_TipoConclusaoExecutada|MA_MQ_MDQUALCL_INMDQUAL_0001|MEDICAO INSTALADO
EQ_TipoConclusaoExecutada|MA_MQ_MDQUALCL_TROCMDQD_0001|MEDICAO TROCADA
EQ_TipoConclusaoExecutada|MA_MT_1001_MSCTEC_0001|MA_MT_1001_MSCTEC_0001 - EXECUTADO
EQ_TipoConclusaoExecutada|MA_MT_1001_MSCTEC_0002|MA_MT_1001_MSCTEC_0002 - NAO EXECUTADO
EQ_TipoConclusaoExecutada|MA_MT_5STPMAUT_MSCTEC_0001|EXECUTADO
EQ_TipoConclusaoExecutada|MA_MT_5STPMAUT_MSCTEC_0002|NAO EXECUTADO
EQ_TipoConclusaoExecutada|MA_MT_ALVFISAE_MSCTEC_0001|EXECUTADO
EQ_TipoConclusaoExecutada|MA_MT_ALVFISAE_MSCTEC_0002|NAO EXECUTADO
EQ_TipoConclusaoExecutada|MA_MT_ALVOGAMB_MSCTEC_0001|EXECUTADO
EQ_TipoConclusaoExecutada|MA_MT_ALVOGAMB_MSCTEC_0002|NAO EXECUTADO
EQ_TipoConclusaoExecutada|MA_MT_ATERAVAR_MSCTEC_0001|EXECUTADO
EQ_TipoConclusaoExecutada|MA_MT_ATERAVAR_MSCTEC_0002|NAO EXECUTADO
EQ_TipoConclusaoExecutada|MA_MT_ATUATRAF_MSCTEC_0001|EXECUTADO
EQ_TipoConclusaoExecutada|MA_MT_ATUATRAF_MSCTEC_0002|NAO EXECUTADO
EQ_TipoConclusaoExecutada|MA_MT_BANCAPAB_MSCTEC_0001|EXECUTADO
